Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Patricia,Lattanzio,Saint-Léonard—Saint-Michel,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Stéphane,Lauzon,Argenteuil—La Petite-Nation,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Philip,Lawrence,Northumberland—Peterborough South,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Dominic,LeBlanc,Beauséjour,New Brunswick,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Diane,Lebouthillier,Gaspésie—Les Îles-de-la-Madeleine,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Paul,Lefebvre,Sudbury,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Richard,Lehoux,Beauce,Quebec,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Sébastien,Lemire,Abitibi—Témiscamingue,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Michael,Levitt,York Centre,Ontario,Liberal,2019-10-21 12:00:00 AM,2020-09-01 9:00:00 AM
,Chris,Lewis,Essex,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Ron,Liepert,Calgary Signal Hill,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Joël,Lightbound,Louis-Hébert,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Dane,Lloyd,Sturgeon River—Parkland,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Ben,Lobb,Huron—Bruce,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Wayne,Long,Saint John—Rothesay,New Brunswick,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Lloyd,Longfield,Guelph,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Tim,Louis,Kitchener—Conestoga,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Tom,Lukiwski,Moose Jaw—Lake Centre—Lanigan,Saskatchewan,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Lawrence,MacAulay,Cardigan,Prince Edward Island,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Alistair,MacGregor,Cowichan—Malahat—Langford,British Columbia,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Dave,MacKenzie,Oxford,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Steven,MacKinnon,Gatineau,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Larry,Maguire,Brandon—Souris,Manitoba,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,James,Maloney,Etobicoke—Lakeshore,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Paul,Manly,Nanaimo—Ladysmith,British Columbia,Green Party,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Simon,Marcil,Mirabel,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Richard,Martel,Chicoutimi—Le Fjord,Quebec,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Soraya,Martinez Ferrada,Hochelaga,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Brian,Masse,Windsor West,Ontario,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Lindsay,Mathyssen,London—Fanshawe,Ontario,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Bryan,May,Cambridge,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Elizabeth,May,Saanich—Gulf Islands,British Columbia,Green Party,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Dan,Mazier,Dauphin—Swan River—Neepawa,Manitoba,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Kelly,McCauley,Edmonton West,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Phil,McColeman,Brantford—Brant,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
