KPICategory,KPIMeasure,KPIYear,KPIValue
Collections,Items Ordered,2003,13929
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2008,96230
Population,Population Served,2010,89382
Volunteers,Volunteer Hours,2004,2592
Borrowing,Physical Material Borrowed (Central and Bookmobile),2005,901266
Population,Population Served,2015,95597
Borrowing,Physical Material Borrowed (Central and Bookmobile),2010,1131175
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2013,63776
Visits,Electronic - Web Site Visits,2004,119870
Visits,Total Patron Visits,2006,772717
Visits,Electronic - Visits to the Catalogue on the Web,2008,184084
Visits,Total Patron Visits,2012,1445858
Borrowing,Physical Material Borrowed (Central and Bookmobile),2011,1357118
Collections,Library Materials Items Owned by the Library,2003,170381
Borrowing,Laptop Loans,2013,115
Open days,Days Open,2010,310
Borrowing,Total Library Materials Used,2011,1561584
Internet,Patron Use of Public Computers,2012,83225
Library use,Library Cards Purchased,2008,12226
Visits,Patrons visiting Central Library,2015,527758
Training,Formal Technology Training Sessions - number of session,2013,347
Visits,Patrons visiting Central Library,2006,476422
Borrowing,Items Lent to Other Libraries,2002,681
Borrowing,Materials Used In-House,2005,156650
Volunteers,Volunteer Hours,2001,2438
Borrowing,Circulation of Library Materials Borrowed Per Capita,2014,15.78
Library use,Number of people reporting use of Library (County Survey),2013,57797
Borrowing,Total Library Materials Used,2006,1122655
Answers,Reference Questions/Transactions - Total,2003,285983
Collections,Items Processed,2012,45621
Open days,Days Open,2003,338
Library use,Library Cards Purchased,2004,12918
Visits,Total Patron Visits,2007,808412
Internet,Patron Use of Public Computers,2011,87978
Borrowing,Circulation of Library Materials Borrowed Per Capita,2008,11.72
Programs,Program Participants,2008,29897
Visits,Patrons visiting Central Library,2005,435782
Programs,Program Participants,2009,31234
Borrowing,Items Lent to Fort Saskatchewan,2008,14354
Collections,Items Processed,2003,19003
Visits,Electronic - Visits to the Catalogue on the Web,2012,550516
Collections,Library Materials Items Owned by the Library,2009,175640
Answers,Reference Questions/Transactions - Total,2012,159473
Visits,Electronic - Visits to the Catalogue on the Web,2009,222070
Visits,Electronic - Visits to the Catalogue on the Web,2006,150628
Collections,Library Materials Items Owned by the Library,2007,155303
Borrowing,Materials Used In-House,2014,148080
Population,Population Served,2008,85521
Collections,Items Processed,2006,26904
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2006,117413
